round,shuffle_role,period_length,num_subperiods,pure_strategy,show_at_worst,show_best_response,rate_limit,mean_matching,payoff1Aa,payoff1Ab,payoff1Ba,payoff1Bb,payoff2Aa,payoff2Ab,payoff2Ba,payoff2Bb
1,TRUE,150,25,TRUE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
2,TRUE,150,0,TRUE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
3,TRUE,150,25,FALSE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
4,TRUE,150,0,FALSE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
5,TRUE,150,25,TRUE,TRUE,TRUE,4,FALSE,800,0,0,200,0,200,200,0
6,TRUE,150,0,TRUE,TRUE,TRUE,4,FALSE,800,0,0,200,0,200,200,0
7,TRUE,150,25,FALSE,TRUE,TRUE,4,FALSE,800,0,0,200,0,200,200,0
8,TRUE,150,0,FALSE,TRUE,TRUE,4,FALSE,800,0,0,200,0,200,200,0
